Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
27-06-2022,87,239.8685455,2816.693632,1,1,0.410792347,1.632345915,0.2510584,5296,,,,,1026325,
28-06-2022,88,141.6853058,3254.408223,,,0.374355637,1.448181152,0.2510584,5837,,,,,1647269,97014
29-06-2022,60,91.07126474,2035.216191,1,1,0.334331143,2.4514606,0.2510584,3949,,,,,1181891,
30-06-2022,25,84.85933805,942.7209537,,,0.337026112,1.443462849,0.2510584,1966,,,,,784425,152030
01-07-2022,54,79.08738822,2277.488557,,,0.338904202,1.660304785,0.261519164,3960,,,,,1026368,
02-07-2022,61,109.3639626,2328.020893,,,0.343692532,1.40852809,0.261519164,4185,,,,,212220,76017
03-07-2022,30,42.59575421,1207.769248,,,0.364868385,1.031953454,0.2510584,2245,,,,,254634,
04-07-2022,58,122.2489395,1690.936901,14,14,0.353052777,0.825491905,0.249535561,3101,,,,891290,,
05-07-2022,31,86.30303526,1354.767616,,,0.510852374,1.340277672,0.2510584,2525,,,,,925581,98511
06-07-2022,55,51.83496094,1885.930414,,,0.332636173,0.913850427,0.261519164,3330,,,,,672696,
07-07-2022,38,48.718785,1432.135908,,,0.395568181,1.738904595,0.2510584,2783,,,,,389331,
08-07-2022,79,70.3620863,2810.921247,,,0.40064156,1.390236259,0.242765799,5317,,,,,450506,234398
09-07-2022,65,87.46767174,2258.309098,,,0.403288144,1.080178618,0.2510584,4386,,,,,1135125,
10-07-2022,83,223.9465612,2295.455022,18,18,0.384755879,1.595890284,0.2510584,3949,,,,1125860,660333,
11-07-2022,62,150.0738863,2160.330304,,,0.355636416,1.742463589,0.2510584,3762,,,,,1513585,
12-07-2022,29,17.76199841,1264.187731,,,0.372257869,1.549611688,0.2510584,2331,,,,,230509,
13-07-2022,91,122.777764,3300.681182,,,0.423687689,1.18853724,0.251279444,6282,,,,,1284375,
14-07-2022,27,59.37261105,1109.854504,,,0.423523035,0.994583547,0.282440722,2096,,,,,770517,
15-07-2022,68,157.8150827,2427.515301,,,0.437978452,1.458889484,0.2510584,4598,,,,,1162308,
16-07-2022,53,101.4428265,1891.609974,,,0.432133317,1.146829724,0.2510584,3346,,,,,1266043,
17-07-2022,55,216.4505472,2232.962758,,,0.40914295,1.269019604,0.261519164,3928,,,,,1058667,623433
18-07-2022,36,142.2968674,1450.66178,3,3,0.335801069,1.426178932,0.254217267,2519,,,,,1846678,
19-07-2022,44,11.40676403,1615.087188,,,0.37017943,1.373200417,0.271979928,2907,,,,,148033,
20-07-2022,75,155.9567418,2287.899272,18,18,0.378243309,1.384867549,0.245725691,4098,,,,1118038,847070,
21-07-2022,220,147.884264,4990.64332,,,0.420180406,1.224331021,0.2510584,8348,,,,,794277,96999
22-07-2022,74,197.3128338,1641.547356,27,27,0.336286121,0.603240967,0.271979928,2858,,,,1687143,217252,
23-07-2022,54,69.44585133,1878.536374,,,0.35533941,1.180987239,0.261519164,3461,,,,,537908,
24-07-2022,43,96.9273262,1362.108098,9,9,0.332516621,1.056007743,0.261519164,2602,,,,600000,626310,
25-07-2022,28,43.21057904,977.3328537,,,0.317853777,1.127061486,0.261519164,1818,,,,,287255,
26-07-2022,31,148.4306974,1184.443827,,,0.337075884,1.456424952,0.2510584,2270,,,,,1393527,
27-07-2022,134,299.6094909,3063.438902,44,44,0.420938392,1.166280746,0.2510584,5199,,,,2906582,476770,
28-07-2022,34,102.3139992,1391.772718,1,1,0.349747725,1.564684153,0.2510584,2570,,,,,660000,
29-07-2022,76,335.4315624,2691.521414,,,0.353366888,1.267844677,0.2510584,4809,,,,,,
30-07-2022,247,439.5223018,10052.11842,30,30,0.459714095,1.7803725,0.2510584,15985,,,,,2213912,
31-07-2022,221,341.5432112,9476.073249,11,11,0.413126781,1.347149491,0.2510584,15168,,,,,4432430,
01-08-2022,105,453.9260501,5176.64537,12,12,0.382971441,1.322634459,0.2510584,9044,,,,,4498439,
02-08-2022,17,66.7488327,934.5922134,,,0.550337322,1.033224106,0.255249262,2003,,,,,866243,
03-08-2022,139,460.5291085,8032.695432,52,52,0.41383771,1.64050293,0.2510584,13012,,,,,5723661,
04-08-2022,93,232.5335696,4090.58107,2,2,0.436494634,1.266745448,0.2510584,7194,,,,,2611785,
05-08-2022,105,200.8524876,4567.334562,4,4,0.399039299,1.408471704,0.240383893,8259,,,,,2023864,
06-08-2022,31,32.60013008,1682.691303,,,0.356610388,1.284477711,0.250780523,3676,,,,,231679,96973
07-08-2022,8,396.7901001,509.4716907,,,0.331260263,1.007353425,0.2510584,992,80,80,80,,668193,
